accident_id,0,factor_id,1
3462,3462,43,43
3477,3477,31,31
3485,3485,37,37
39765,39765,37,37
3486,3486,37,37
3793,3793,43,43
3794,3794,31,31
3794,3794,34,34
3490,3490,37,37
3493,3493,31,31
3797,3797,31,31
3493,3493,43,43
3499,3499,31,31
3499,3499,43,43
3502,3502,31,31
3805,3805,37,37
3504,3504,37,37
3811,3811,37,37
3505,3505,37,37
3506,3506,31,31
3506,3506,43,43
3815,3815,37,37
3507,3507,31,31
3817,3817,101,101
3818,3818,31,31
3819,3819,31,31
50401,50401,101,101
56690,56690,31,31
56690,56690,35,35
3507,3507,43,43
3509,3509,101,101
3511,3511,37,37
3513,3513,31,31
3513,3513,43,43
3516,3516,37,37
3826,3826,37,37
3517,3517,37,37
3518,3518,37,37
3829,3829,37,37
3519,3519,37,37
3520,3520,101,101
3522,3522,101,101
3525,3525,37,37
3526,3526,31,31
3526,3526,43,43
3840,3840,43,43
3841,3841,31,31
3841,3841,43,43
3842,3842,37,37
3844,3844,37,37
938,938,43,43
3848,3848,31,31
3848,3848,43,43
3849,3849,31,31
938,938,36,36
3855,3855,37,37
3856,3856,37,37
3860,3860,31,31
3861,3861,31,31
18033,18033,35,35
3863,3863,31,31
3863,3863,43,43
3864,3864,31,31
3864,3864,43,43
3527,3527,37,37
3528,3528,31,31
3528,3528,43,43
3529,3529,101,101
1044,1044,31,31
1044,1044,43,43
3533,3533,31,31
622,622,42,42
3533,3533,43,43
3535,3535,43,43
3882,3882,31,31
3535,3535,101,101
3536,3536,31,31
3887,3887,37,37
3888,3888,31,31
3891,3891,31,31
3891,3891,43,43
3536,3536,43,43
3537,3537,37,37
3540,3540,37,37
3544,3544,31,31
3548,3548,43,43
3898,3898,37,37
3549,3549,31,31
3549,3549,43,43
3904,3904,37,37
3550,3550,31,31
3550,3550,43,43
3908,3908,31,31
3552,3552,101,101
3553,3553,37,37
3554,3554,101,101
3555,3555,35,35
3557,3557,42,42
3564,3564,101,101
3565,3565,43,43
3568,3568,37,37
3922,3922,37,37
3569,3569,31,31
3924,3924,37,37
3569,3569,43,43
3929,3929,37,37
8321,8321,34,34
3579,3579,37,37
3934,3934,31,31
3934,3934,43,43
3935,3935,43,43
3581,3581,37,37
3937,3937,37,37
3582,3582,37,37
3942,3942,31,31
3942,3942,43,43
3945,3945,31,31
3945,3945,43,43
3946,3946,31,31
3946,3946,43,43
3583,3583,31,31
3952,3952,43,43
3585,3585,43,43
3587,3587,101,101
3590,3590,37,37
3959,3959,31,31
3960,3960,37,37
3602,3602,31,31
3602,3602,43,43
3604,3604,43,43
3606,3606,37,37
3609,3609,31,31
3615,3615,31,31
3618,3618,43,43
3619,3619,43,43
3627,3627,35,35
3627,3627,101,101
3631,3631,37,37
3645,3645,101,101
3647,3647,101,101
3975,3975,37,37
3978,3978,31,31
3978,3978,43,43
3979,3979,37,37
3980,3980,37,37
3653,3653,37,37
3984,3984,31,31
3655,3655,37,37
3657,3657,37,37
3658,3658,31,31
3658,3658,37,37
3662,3662,42,42
3996,3996,37,37
3669,3669,101,101
3670,3670,37,37
3671,3671,37,37
4001,4001,37,37
4002,4002,37,37
3672,3672,31,31
3672,3672,43,43
4013,4013,31,31
4013,4013,34,34
4013,4013,43,43
4014,4014,37,37
8321,8321,43,43
4017,4017,31,31
4018,4018,31,31
3673,3673,37,37
